Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R2_paired	(1.0, 20.7446821235915)	(2.0, 7.168071156815901)	(3.0, 3.6315111545677263)	(4.0, 2.400006483582665)	(5.0, 1.7833575366399388)	(6.0, 1.4127994683169878)	(7.0, 1.2658520794304602)	(8.0, 1.0338142205559084)	(9.0, 0.9292406085030249)	('>10', 16.70914029870981)	('>50', 8.926190878446118)	('>100', 21.13450570170584)	('>500', 6.483232559068217)	('>1k', 5.9918443679726)	('>5k', 0.32243961652592157)	('>10k+', 0.0633117455671797)
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R1_paired	(1.0, 17.87337498954629)	(2.0, 7.690946157499617)	(3.0, 4.075202332258562)	(4.0, 2.568497534779742)	(5.0, 2.0514833992805572)	(6.0, 1.5567511398274751)	(7.0, 1.322848940900279)	(8.0, 1.0844202613371534)	(9.0, 0.9572852219894229)	('>10', 16.01427140049094)	('>50', 7.476266546863351)	('>100', 19.49331466702216)	('>500', 7.645258859311871)	('>1k', 9.345896887252009)	('>5k', 0.7288557748269128)	('>10k+', 0.11532588681349068)
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R2_paired	(1.0, 20.568956523347712)	(2.0, 7.7252309418883005)	(3.0, 3.9915585732565537)	(4.0, 2.4584307048115326)	(5.0, 1.859036804130433)	(6.0, 1.5203620580949266)	(7.0, 1.2836140330331025)	(8.0, 1.1433807985708617)	(9.0, 0.9870756367036863)	('>10', 17.305334278810683)	('>50', 9.07261677714674)	('>100', 20.764297934597845)	('>500', 6.211319697144873)	('>1k', 4.926224585411901)	('>5k', 0.13017435853410508)	('>10k+', 0.05238629451674601)
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R1_paired	(1.0, 11.092267216562973)	(2.0, 7.376329936452386)	(3.0, 5.139158755730028)	(4.0, 3.3915996801786212)	(5.0, 2.3846575587328265)	(6.0, 1.7993321158172666)	(7.0, 1.4706336384291954)	(8.0, 1.2147882908448677)	(9.0, 1.0698947010336115)	('>10', 16.61058117776815)	('>50', 7.970813629344509)	('>100', 20.728982427965114)	('>500', 7.971713209688786)	('>1k', 10.302571317542572)	('>5k', 1.153640392591181)	('>10k+', 0.32303595131767704)
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R2_paired	(1.0, 14.435405156372557)	(2.0, 7.918550589105283)	(3.0, 4.739349525167766)	(4.0, 3.057287697973877)	(5.0, 2.2030073532093257)	(6.0, 1.6500480143019989)	(7.0, 1.380631041143594)	(8.0, 1.1754908336252428)	(9.0, 1.048961085812253)	('>10', 17.89892015746747)	('>50', 9.362172788421997)	('>100', 22.470134342277593)	('>500', 7.15496573637833)	('>1k', 5.217971592984672)	('>5k', 0.20912938435574926)	('>10k+', 0.07797470140227972)
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R1_paired	(1.0, 16.341725305893416)	(2.0, 7.475786213030721)	(3.0, 3.9426824656219397)	(4.0, 2.5027806349766033)	(5.0, 1.9084537317751677)	(6.0, 1.4794676081025382)	(7.0, 1.2210563011428572)	(8.0, 1.0644888362105607)	(9.0, 0.9174463574771295)	('>10', 14.784808802738647)	('>50', 7.260618561934631)	('>100', 20.206712927415225)	('>500', 8.204988854869887)	('>1k', 10.402742375738491)	('>5k', 1.8103898387120703)	('>10k+', 0.4758511843601457)
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R2_paired	(1.0, 18.89509511703128)	(2.0, 7.436222988997822)	(3.0, 3.9995097436668403)	(4.0, 2.3679608140367088)	(5.0, 1.815810341582253)	(6.0, 1.4213966492701968)	(7.0, 1.1893137504975253)	(8.0, 1.0598737676223329)	(9.0, 0.9103826346446214)	('>10', 16.16536152754503)	('>50', 8.93034110737117)	('>100', 21.865061096457712)	('>500', 7.2037374860348935)	('>1k', 6.304230784214497)	('>5k', 0.3869426687710829)	('>10k+', 0.04875952225616776)
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R1_paired	(1.0, 18.673050552668148)	(2.0, 7.488109886579913)	(3.0, 4.034122714261465)	(4.0, 2.514984779702581)	(5.0, 1.81606491064812)	(6.0, 1.4990797113440553)	(7.0, 1.3046179749895601)	(8.0, 1.0278991956671655)	(9.0, 0.9656215310080472)	('>10', 15.283374542991709)	('>50', 7.746601481141719)	('>100', 19.566766452253475)	('>500', 7.285205210091431)	('>1k', 8.91099847028619)	('>5k', 1.100069551038153)	('>10k+', 0.7834330353282354)
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R2_paired	(1.0, 16.801533444164424)	(2.0, 7.232101806583693)	(3.0, 3.8462441753577306)	(4.0, 2.3790954786788294)	(5.0, 1.9114050138027947)	(6.0, 1.4958285645686689)	(7.0, 1.2265665191015824)	(8.0, 1.0915634317640648)	(9.0, 0.9880796946973058)	('>10', 16.822819385411343)	('>50', 9.113391144311576)	('>100', 22.373252345518125)	('>500', 7.3763042274714845)	('>1k', 6.966895425249383)	('>5k', 0.2601653981885131)	('>10k+', 0.11475394513035639)
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R1_paired	(1.0, 18.660331622321618)	(2.0, 6.396493785056019)	(3.0, 3.2649585743010285)	(4.0, 2.2018241755477224)	(5.0, 1.6690020062018405)	(6.0, 1.3262222459271558)	(7.0, 1.1550931885163118)	(8.0, 1.0478899968234576)	(9.0, 0.9202309415387083)	('>10', 15.185983114393512)	('>50', 7.695085292507793)	('>100', 20.571764284466173)	('>500', 8.28891071677778)	('>1k', 10.111225853224278)	('>5k', 1.3098817798821782)	('>10k+', 0.19510242251447046)
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R2_paired	(1.0, 20.150608385588427)	(2.0, 6.294485353821674)	(3.0, 3.200220855000724)	(4.0, 2.1229250110371924)	(5.0, 1.661289953565604)	(6.0, 1.3823675454583173)	(7.0, 1.1991994414360547)	(8.0, 1.0774291318115694)	(9.0, 0.9153393710093716)	('>10', 16.317009930451217)	('>50', 9.013285152365448)	('>100', 22.05625029713449)	('>500', 7.336341942110631)	('>1k', 6.769008534403877)	('>5k', 0.2900624140300774)	('>10k+', 0.2141766807752907)
