Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R2_paired	(25.0, 50.0)	(26.0, 474.0)	(27.0, 3430.0)	(28.0, 15291.0)	(29.0, 52475.0)	(30.0, 139068.0)	(31.0, 309785.0)	(32.0, 582708.0)	(33.0, 1031393.0)	(34.0, 1835929.0)	(35.0, 4518300.0)	(36.0, 12672680.0)	(37.0, 360000.0)		
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R1_paired	(25.0, 4.0)	(26.0, 53.0)	(27.0, 633.0)	(28.0, 4831.0)	(29.0, 22961.0)	(30.0, 77679.0)	(31.0, 198174.0)	(32.0, 399950.0)	(33.0, 720574.0)	(34.0, 1245190.0)	(35.0, 2857075.0)	(36.0, 15271743.0)	(37.0, 870139.0)		
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R2_paired	(24.0, 3.0)	(25.0, 25.0)	(26.0, 333.0)	(27.0, 2757.0)	(28.0, 12417.0)	(29.0, 43744.0)	(30.0, 117378.0)	(31.0, 266273.0)	(32.0, 508990.0)	(33.0, 910082.0)	(34.0, 1635978.0)	(35.0, 4082251.0)	(36.0, 13669493.0)	(37.0, 419282.0)	
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R1_paired	(26.0, 41.0)	(27.0, 564.0)	(28.0, 4145.0)	(29.0, 20346.0)	(30.0, 67749.0)	(31.0, 172909.0)	(32.0, 346565.0)	(33.0, 622659.0)	(34.0, 1087454.0)	(35.0, 2502049.0)	(36.0, 11767262.0)	(37.0, 615370.0)			
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R2_paired	(25.0, 17.0)	(26.0, 249.0)	(27.0, 2034.0)	(28.0, 9574.0)	(29.0, 34200.0)	(30.0, 94154.0)	(31.0, 214874.0)	(32.0, 418047.0)	(33.0, 763244.0)	(34.0, 1392896.0)	(35.0, 3578532.0)	(36.0, 10381981.0)	(37.0, 317311.0)		
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R1_paired	(25.0, 1.0)	(26.0, 52.0)	(27.0, 597.0)	(28.0, 4580.0)	(29.0, 22240.0)	(30.0, 77092.0)	(31.0, 199393.0)	(32.0, 406468.0)	(33.0, 737818.0)	(34.0, 1284239.0)	(35.0, 2973754.0)	(36.0, 15328632.0)	(37.0, 865941.0)		
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R2_paired	(24.0, 1.0)	(25.0, 25.0)	(26.0, 338.0)	(27.0, 2845.0)	(28.0, 12940.0)	(29.0, 45254.0)	(30.0, 121303.0)	(31.0, 274998.0)	(32.0, 526027.0)	(33.0, 943043.0)	(34.0, 1701107.0)	(35.0, 4317629.0)	(36.0, 13562560.0)	(37.0, 392737.0)	
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R1_paired	(25.0, 7.0)	(26.0, 171.0)	(27.0, 1928.0)	(28.0, 12191.0)	(29.0, 53561.0)	(30.0, 163383.0)	(31.0, 390320.0)	(32.0, 755133.0)	(33.0, 1358903.0)	(34.0, 2584265.0)	(35.0, 6655129.0)	(36.0, 9442290.0)	(37.0, 61308.0)		
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R2_paired	(24.0, 2.0)	(25.0, 6.0)	(26.0, 112.0)	(27.0, 784.0)	(28.0, 3995.0)	(29.0, 14840.0)	(30.0, 45429.0)	(31.0, 118833.0)	(32.0, 267677.0)	(33.0, 573803.0)	(34.0, 1248551.0)	(35.0, 3913881.0)	(36.0, 14862952.0)	(37.0, 427724.0)	
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R1_paired	(25.0, 2.0)	(26.0, 45.0)	(27.0, 638.0)	(28.0, 4554.0)	(29.0, 22659.0)	(30.0, 76000.0)	(31.0, 195816.0)	(32.0, 394730.0)	(33.0, 715344.0)	(34.0, 1255997.0)	(35.0, 2963182.0)	(36.0, 12423084.0)	(37.0, 469359.0)		
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R2_paired	(24.0, 2.0)	(25.0, 29.0)	(26.0, 331.0)	(27.0, 2419.0)	(28.0, 10834.0)	(29.0, 37955.0)	(30.0, 103729.0)	(31.0, 239947.0)	(32.0, 467821.0)	(33.0, 851758.0)	(34.0, 1558578.0)	(35.0, 3876846.0)	(36.0, 11115643.0)	(37.0, 255518.0)	
